Clasificación_D,Nombre de Institución,Measure Names,Measure Values
(a) Universidades Estatales CRUCH,U. DE TALCA,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE LA SERENA,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE CHILE,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE AYSEN,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE ATACAMA,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,Matrícula Total / N° PC con Internet ,
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,N° de Títulos / Matrícula total,2.023248540
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,N° de Títulos / Matrícula total,
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,N° de Títulos / Matrícula total,0.356655146
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,N° de Títulos / Matrícula total,4.285088509
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,N° de Títulos / Matrícula total,9.766677205
(a) Universidades Estatales CRUCH,U. DE TALCA,N° de Títulos / Matrícula total,8.027082443
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,N° de Títulos / Matrícula total,3.790592273
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,N° de Títulos / Matrícula total,8.933093226
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,N° de Títulos / Matrícula total,0.778747742
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,N° de Títulos / Matrícula total,10.486640726
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,N° de Títulos / Matrícula total,5.166313559
(a) Universidades Estatales CRUCH,U. DE LA SERENA,N° de Títulos / Matrícula total,6.514654162
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,N° de Títulos / Matrícula total,
(a) Universidades Estatales CRUCH,U. DE CHILE,N° de Títulos / Matrícula total,21.367813473
(a) Universidades Estatales CRUCH,U. DE AYSEN,N° de Títulos / Matrícula total,1.309644670
(a) Universidades Estatales CRUCH,U. DE ATACAMA,N° de Títulos / Matrícula total,6.223218222
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,N° de Títulos / Matrícula total,6.559081786
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,N° de Títulos / Matrícula total,3.687179487
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,N° Volumenes / Matrícula Total,7.425354462
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,N° Volumenes / Matrícula Total,
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,N° Volumenes / Matrícula Total,8.296973784
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,N° Volumenes / Matrícula Total,8.505850585
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,N° Volumenes / Matrícula Total,16.163030878
(a) Universidades Estatales CRUCH,U. DE TALCA,N° Volumenes / Matrícula Total,17.882357967
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,N° Volumenes / Matrícula Total,19.654844671
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,N° Volumenes / Matrícula Total,18.138384818
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,N° Volumenes / Matrícula Total,1.314569536
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,N° Volumenes / Matrícula Total,20.620492866
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,N° Volumenes / Matrícula Total,8.779449153
(a) Universidades Estatales CRUCH,U. DE LA SERENA,N° Volumenes / Matrícula Total,21.939917937
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,N° Volumenes / Matrícula Total,
