,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año,region
11,Universidad del Bío Bío,58,63,67,33,0.9,2011,Región del Biobío
12,Universidad del Desarrollo,9,9,78,22,1.0,2011,Región del Biobío
13,Universidad Nacional Andrés Bello,5,5,80,20,1.0,2011,Región del Biobío
14,Universidad San Sebastián,9,9,56,44,1.0,2011,Región del Biobío
15,Universidad Santo Tomás,1,1,100,0,1.0,2011,Región del Biobío
16,Astilleros y Maestranza de La Armada,1,1,100,0,1.0,2011,Región del Biobío
17,Centro de Investigacion de Polimeros Avanzados,13,3,50,50,4.3,2011,Región del Biobío
18,Centro de Optica y Fotonica,1,3,100,0,0.3,2011,Región del Biobío
19,Centro de Sangre de Concepcion,1,2,0,100,0.5,2011,Región del Biobío
20,Instituto de Ecologia y Biodiversidad,5,2,100,0,2.5,2011,Región del Biobío
21,Consorcio Genómica Forestal,2,2,100,0,1.0,2011,Región del Biobío
0,Hospital Clínico Herminda Martin,4,6,100,0,0.7,2011,Región de Ñuble
1,Instituto de Investigaciones Agropecuarias,2,3,100,0,0.7,2011,Región de Ñuble
2,Universidad Católica de la Santísima Concepción,1,1,100,0,1.0,2011,Región de Ñuble
3,Universidad de Concepción,44,79,65,35,0.6,2011,Región de Ñuble
4,Universidad del Bío Bío,50,56,62,38,0.9,2011,Región de Ñuble
5,Instituto de Investigaciones Agropecuarias,18,24,79,21,0.8,2011,Región de Ñuble
0,DATCO Chile,2,5,25,75,0.4,2012,Región del Libertador General Bernardo O'Higgins
1,Hospital Clínico FUSAT,1,3,100,0,0.3,2012,Región del Libertador General Bernardo O'Higgins
2,Hospital Regional de Rancagua,3,4,100,0,0.8,2012,Región del Libertador General Bernardo O'Higgins
3,Centro de Estudios Avanzados en Fruticultura,5,9,75,25,0.6,2012,Región del Libertador General Bernardo O'Higgins
4,Centro de Salud Familiar,1,1,0,100,1.0,2012,Región del Libertador General Bernardo O'Higgins
5,Comision Nacional de Investigacion Cientifica y Tecnologica,1,1,100,0,1.0,2012,Región del Libertador General Bernardo O'Higgins
6,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2012,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,2,2,50,50,1.0,2012,Región del Maule
1,Universidad Autónoma de Chile,6,4,75,25,1.5,2012,Región del Maule
2,Universidad Católica del Maule,43,50,63,37,0.9,2012,Región del Maule
3,Universidad de Chile,1,1,0,100,1.0,2012,Región del Maule
4,Universidad de Talca,178,224,75,25,0.8,2012,Región del Maule
0,Bioforest SA,2,2,100,0,1.0,2012,Región del Biobío
1,Clínica Alemana,2,3,100,0,0.7,2012,Región del Biobío
2,Clínica Sanatorio Alemán,2,4,100,0,0.5,2012,Región del Biobío
3,Ctr Anat Patol Vet CAPAVET,1,4,100,0,0.3,2012,Región del Biobío
4,Ctr Opt & Photon,2,5,100,0,0.4,2012,Región del Biobío
5,Forestal Mininco SA,6,7,86,14,0.9,2012,Región del Biobío
6,Hospital Guillermo Grant Benavente,4,11,70,30,0.4,2012,Región del Biobío
7,Hospital Las Higueras,1,1,100,0,1.0,2012,Región del Biobío
8,Hospital Regional de Concepción,8,16,50,50,0.5,2012,Región del Biobío
9,Inst Invest Pesquera INPESCA,6,3,33,67,2.0,2012,Región del Biobío
10,Universidad Católica de la Santísima Concepción,58,69,66,34,0.8,2012,Región del Biobío
11,Universidad de Concepción,828,1036,64,36,0.8,2012,Región del Biobío
12,Universidad de la Frontera,1,1,0,100,1.0,2012,Región del Biobío
13,Universidad del Bío Bío,58,65,68,32,0.9,2012,Región del Biobío
14,Universidad del Desarrollo,15,20,72,28,0.8,2012,Región del Biobío
15,Universidad Nacional Andrés Bello,7,7,43,57,1.0,2012,Región del Biobío
16,Universidad San Sebastián,8,8,50,50,1.0,2012,Región del Biobío
17,Universidad Santo Tomás,1,1,100,0,1.0,2012,Región del Biobío
18,Universidad Técnica Federico Santa María,1,1,100,0,1.0,2012,Región del Biobío
19,Centro de Biotecnologia Acuicola,1,4,25,75,0.3,2012,Región del Biobío
20,Centro de Investigacion de Polimeros Avanzados,16,7,50,50,2.3,2012,Región del Biobío
21,Centro de Optica y Fotonica,9,6,80,20,1.5,2012,Región del Biobío
22,Hospital del Trabajador,1,1,100,0,1.0,2012,Región del Biobío
23,Instituto Forestal,1,1,100,0,1.0,2012,Región del Biobío
24,Servicio Nacional de Pesca y Acuicultura,1,1,100,0,1.0,2012,Región del Biobío
25,Consorcio Genómica Forestal,3,4,50,50,0.8,2012,Región del Biobío
26,Museo Historia Natural de Concepción,1,1,100,0,1.0,2012,Región del Biobío
0,Instituto de Investigaciones Agropecuarias,3,4,50,50,0.8,2012,Región de Ñuble
1,Universidad Adventista de Chile,1,1,100,0,1.0,2012,Región de Ñuble
2,Universidad de Concepción,57,87,69,31,0.7,2012,Región de Ñuble
3,Universidad de Talca,1,1,100,0,1.0,2012,Región de Ñuble
4,Universidad del Bío Bío,44,52,54,46,0.8,2012,Región de Ñuble
5,Instituto de Investigaciones Agropecuarias,15,22,60,40,0.7,2012,Región de Ñuble
0,Corp Nacl Cobre,1,1,100,0,1.0,2013,Región del Libertador General Bernardo O'Higgins
1,DATCO Chile,2,1,0,100,2.0,2013,Región del Libertador General Bernardo O'Higgins
2,Hospital Regional de Rancagua,2,3,100,0,0.7,2013,Región del Libertador General Bernardo O'Higgins
3,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2013,Región del Libertador General Bernardo O'Higgins
4,Universidad de Concepción,1,2,100,0,0.5,2013,Región del Libertador General Bernardo O'Higgins
5,Centro de Estudios Avanzados en Fruticultura,7,5,50,50,1.4,2013,Región del Libertador General Bernardo O'Higgins
6,Instituto de Investigaciones Agropecuarias,5,9,50,50,0.6,2013,Región del Libertador General Bernardo O'Higgins
7,Museo Regional de Rancagua,1,1,100,0,1.0,2013,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,8,18,71,29,0.4,2013,Región del Maule
1,Universidad Autónoma de Chile,4,5,80,20,0.8,2013,Región del Maule
2,Universidad Católica del Maule,50,73,67,33,0.7,2013,Región del Maule
3,Universidad de Talca,239,269,70,30,0.9,2013,Región del Maule
4,Universidad Santo Tomás,2,2,100,0,1.0,2013,Región del Maule
5,Centro de Estudios Avanzados en Fruticultura,4,6,80,20,0.7,2013,Región del Maule
6,Instituto de Investigaciones Agropecuarias,1,1,0,0,1.0,2013,Región del Maule
7,Centro de Estudios en Alimentos Procesados,3,3,100,0,1.0,2013,Región del Maule
0,Bioforest SA,3,3,100,0,1.0,2013,Región del Biobío
1,Chilean Forest Inst INFOR,1,1,0,100,1.0,2013,Región del Biobío
2,Clínica Sanatorio Alemán,1,1,0,0,1.0,2013,Región del Biobío
3,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,3,7,100,0,0.4,2013,Región del Biobío
4,Corp Nacl Forestal,1,1,0,100,1.0,2013,Región del Biobío
5,Forestal Mininco SA,4,3,67,33,1.3,2013,Región del Biobío
6,Hospital Guillermo Grant Benavente,5,3,50,50,1.7,2013,Región del Biobío
7,Hospital Las Higueras,3,6,40,60,0.5,2013,Región del Biobío
8,Hospital Regional de Concepción,1,4,100,0,0.3,2013,Región del Biobío
9,Inst Invest Pesquera INPESCA,3,7,86,14,0.4,2013,Región del Biobío
10,Lab Ingn Acuicola Irene Lepez Ltda,1,3,33,67,0.3,2013,Región del Biobío
11,Lab Proc Oceanog & Clima,2,2,0,100,1.0,2013,Región del Biobío
12,Red Conservacionista Patrimonio Nat Contulmo,1,1,100,0,1.0,2013,Región del Biobío
13,Universidad Católica de la Santísima Concepción,50,54,66,34,0.9,2013,Región del Biobío
14,Universidad de Concepción,810,1003,65,35,0.8,2013,Región del Biobío
15,Universidad de la Frontera,1,1,0,100,1.0,2013,Región del Biobío
16,Universidad del Bío Bío,71,81,73,27,0.9,2013,Región del Biobío
17,Universidad del Desarrollo,18,15,80,20,1.2,2013,Región del Biobío
18,Universidad Nacional Andrés Bello,9,8,50,50,1.1,2013,Región del Biobío
19,Universidad San Sebastián,4,3,33,67,1.3,2013,Región del Biobío
20,Universidad Santo Tomás,4,4,67,33,1.0,2013,Región del Biobío
21,Astilleros y Maestranza de La Armada,1,2,100,0,0.5,2013,Región del Biobío
22,Centro de Investigacion de Polimeros Avanzados,9,11,40,60,0.8,2013,Región del Biobío
23,Centro Nacional de Investigacion para la Gestion Integrada de Desastres Naturales,1,3,100,0,0.3,2013,Región del Biobío
24,Centro de Ciencia del Clima y la Resiliencia,1,2,0,100,0.5,2013,Región del Biobío
25,Universidad de Aconcagua,1,1,100,0,1.0,2013,Región del Biobío
26,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,26,9,100,0,2.9,2013,Región del Biobío
27,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,1,100,0,1.0,2013,Región del Biobío
28,Iniciativa Científica Milenio,1,1,100,0,1.0,2013,Región del Biobío
0,Universidad Adventista de Chile,2,2,100,0,1.0,2013,Región de Ñuble
1,Universidad de Chile,1,4,25,75,0.3,2013,Región de Ñuble
2,Universidad de Concepción,51,78,72,28,0.7,2013,Región de Ñuble
3,Universidad del Bío Bío,66,63,66,34,1.0,2013,Región de Ñuble
4,Instituto de Investigaciones Agropecuarias,15,19,82,18,0.8,2013,Región de Ñuble
0,Consultorio Pudahuel,1,1,100,0,1.0,2014,Región del Libertador General Bernardo O'Higgins
1,Hospital Clínico FUSAT,4,1,0,100,4.0,2014,Región del Libertador General Bernardo O'Higgins
2,Hospital Regional de Rancagua,1,1,0,0,1.0,2014,Región del Libertador General Bernardo O'Higgins
3,Universidad Diego Portales,1,1,100,0,1.0,2014,Región del Libertador General Bernardo O'Higgins
4,Centro de Estudios Avanzados en Fruticultura,2,9,63,38,0.2,2014,Región del Libertador General Bernardo O'Higgins
5,Instituto de Investigaciones Agropecuarias,2,3,67,33,0.7,2014,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,4,4,100,0,1.0,2014,Región del Maule
1,Pontificia Universidad Católica de Chile,1,1,100,0,1.0,2014,Región del Maule
2,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2014,Región del Maule
3,Universidad Autónoma de Chile,22,15,67,33,1.5,2014,Región del Maule
4,Universidad Católica del Maule,51,56,74,26,0.9,2014,Región del Maule
5,Universidad de Talca,281,307,77,23,0.9,2014,Región del Maule
6,Universidad Santo Tomás,3,2,0,100,1.5,2014,Región del Maule
7,Centro de Estudios Avanzados en Fruticultura,2,3,100,0,0.7,2014,Región del Maule
8,Centro de Estudios en Alimentos Procesados,1,1,100,0,1.0,2014,Región del Maule
0,Bioforest SA,3,2,50,50,1.5,2014,Región del Biobío
1,Clínica Alemana,1,1,100,0,1.0,2014,Región del Biobío
2,Clínica Sanatorio Alemán,1,1,100,0,1.0,2014,Región del Biobío
3,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,50,50,0.5,2014,Región del Biobío
4,Corp Nacl Forestal,1,1,0,100,1.0,2014,Región del Biobío
5,Forestal Mininco SA,2,3,67,33,0.7,2014,Región del Biobío
6,Hospital Guillermo Grant Benavente,4,8,63,38,0.5,2014,Región del Biobío
7,Hospital Las Higueras,2,4,75,25,0.5,2014,Región del Biobío
8,Inst Chile,1,1,100,0,1.0,2014,Región del Biobío
9,Inst Forestal INFOR,1,6,83,17,0.2,2014,Región del Biobío
10,Inst Invest Pesquera INPESCA,3,3,100,0,1.0,2014,Región del Biobío
11,MELISA Inst,1,4,67,33,0.3,2014,Región del Biobío
12,Servicio Médico Legal,1,1,100,0,1.0,2014,Región del Biobío
13,SUMIRCO,3,1,100,0,3.0,2014,Región del Biobío
14,Universidad Católica de la Santísima Concepción,74,87,63,37,0.9,2014,Región del Biobío
15,Universidad de Chile,1,1,100,0,1.0,2014,Región del Biobío
16,Universidad de Concepción,838,1027,65,35,0.8,2014,Región del Biobío
17,Universidad de la Frontera,1,1,100,0,1.0,2014,Región del Biobío
18,Universidad del Bío Bío,86,84,80,20,1.0,2014,Región del Biobío
19,Universidad del Desarrollo,18,19,72,28,0.9,2014,Región del Biobío
20,Universidad Nacional Andrés Bello,11,10,80,20,1.1,2014,Región del Biobío
21,Universidad San Sebastián,13,16,56,44,0.8,2014,Región del Biobío
22,Universidad Santo Tomás,6,13,92,8,0.5,2014,Región del Biobío
